Entity,Code,Year,Male,Female,Population,World regions according to OWID,time,time
Afghanistan,AFG,2000,0,0,20130334,Asia,2000,2023
Afghanistan,AFG,2005,0.05,0.01,24404574,Asia,2005,2023
Afghanistan,AFG,2010,0.02,0,28284088,Asia,2010,2023
Afghanistan,AFG,2015,0.02,0,33831765,Asia,2015,2023
Afghanistan,AFG,2019,0.03,0,37856126,Asia,2019,2023
Algeria,DZA,2000,0.52,0.08,30903895,Africa,2000,2023
Algeria,DZA,2005,0.82,0.12,33109258,Africa,2005,2023
Algeria,DZA,2010,0.76,0.11,36188236,Africa,2010,2023
Algeria,DZA,2015,1.01,0.14,40019528,Africa,2015,2023
Algeria,DZA,2019,1.07,0.14,43294550,Africa,2019,2023
Andorra,AND,2000,18.91,5.7,65703,Europe,2000,2023
Andorra,AND,2005,18.4,5.58,77436,Europe,2005,2023
Andorra,AND,2010,16.46,4.94,80726,Europe,2010,2023
Andorra,AND,2015,16.54,4.9,72194,Europe,2015,2023
Andorra,AND,2019,16.94,5,76491,Europe,2019,2023
Angola,AGO,2000,8.32,2.26,16194872,Africa,2000,2023
Angola,AGO,2005,10.66,2.96,19291161,Africa,2005,2023
Angola,AGO,2010,13.19,3.72,23294821,Africa,2010,2023
Angola,AGO,2015,12.3,3.45,28157801,Africa,2015,2023
Angola,AGO,2019,9.82,2.71,32375632,Africa,2019,2023
Antigua and Barbuda,ATG,2000,8.83,2.28,74929,North America,2000,2023
Antigua and Barbuda,ATG,2005,9.9,2.58,79628,North America,2005,2023
Antigua and Barbuda,ATG,2010,9.53,2.46,85337,North America,2010,2023
Antigua and Barbuda,ATG,2015,12.2,3.15,89422,North America,2015,2023
Antigua and Barbuda,ATG,2019,14.02,3.63,91377,North America,2019,2023
Argentina,ARG,2000,10.55,3.12,37213985,South America,2000,2023
Argentina,ARG,2005,9.67,2.85,39216787,South America,2005,2023
Argentina,ARG,2010,12.02,3.57,41288694,South America,2010,2023
Argentina,ARG,2015,13.39,3.97,43477009,South America,2015,2023
Argentina,ARG,2019,12.56,3.71,44973468,South America,2019,2023
Armenia,ARM,2000,6.28,1.55,3125630,Asia,2000,2023
Armenia,ARM,2005,8.19,2.08,3006360,Asia,2005,2023
Armenia,ARM,2010,8.62,2.2,2931083,Asia,2010,2023
Armenia,ARM,2015,8.59,2.16,2921179,Asia,2015,2023
Armenia,ARM,2019,8.67,2.15,2903975,Asia,2019,2023
Australia,AUS,2000,16.37,4.92,19132473,Oceania,2000,2023
Australia,AUS,2005,16.76,5.05,20294490,Oceania,2005,2023
Australia,AUS,2010,17.14,5.2,22141583,Oceania,2010,2023
Australia,AUS,2015,16.07,4.87,23947998,Oceania,2015,2023
Australia,AUS,2019,15.62,4.74,25482714,Oceania,2019,2023
Austria,AUT,2000,20.53,5.88,8012929,Europe,2000,2023
Austria,AUT,2005,20.01,5.75,8229204,Europe,2005,2023
Austria,AUT,2010,19.36,5.58,8365087,Europe,2010,2023
Austria,AUT,2015,19.2,5.56,8644037,Europe,2015,2023
Austria,AUT,2019,18.81,5.46,8880875,Europe,2019,2023
Azerbaijan,AZE,2000,2.83,0.45,8174783,Asia,2000,2023
Azerbaijan,AZE,2005,3.24,0.52,8597248,Asia,2005,2023
Azerbaijan,AZE,2010,3.23,0.52,9146852,Asia,2010,2023
Azerbaijan,AZE,2015,2.57,0.4,9752859,Asia,2015,2023
Azerbaijan,AZE,2019,3.51,0.54,10110486,Asia,2019,2023
Bahamas,BHS,2000,7.8,2.06,323846,North America,2000,2023
Bahamas,BHS,2005,7.59,2,343905,North America,2005,2023
Bahamas,BHS,2010,7.04,1.83,367482,North America,2010,2023
