Region,Country,Males,Females,Both
Caribbean,Antigua and Barbuda,15.5,3.7,10.1
South America,Argentina,34.2,1.7,20.4
Caribbean,Bahamas,14.5,2.9,9.8
Caribbean,Barbados,31.9,8.5,21.2
Central America,Belize,10.2,1.1,8.3
South America,Bolivia,12.4,1.7,8.1
South America,Brazil,29.9,11.1,22.1
South America,Chile,13.5,0.1,7.4
South America,Colombia,13.8,0.6,8.6
Central America,Costa Rica,20.4,6,14.8
Caribbean,Cuba,15.2,3.3,10.1
Caribbean,Dominica,59.4,29.6,46.9
Caribbean,Dominican Republic,37,18.6,29.6
South America,Ecuador,12,1.5,8
Central America,El Salvador,28.8,13.6,22.4
Caribbean,Grenada,13.3,2.8,9.2
Central America,Guatemala,24.1,14.2,20.2
South America,Guyana,15.2,3.4,10.2
Caribbean,Haiti,14.8,3.2,10
Caribbean,Honduras,13.6,0.6,8.6
Caribbean,Jamaica,21,5.9,15
Central America,Mexico,28.5,11.4,21.2
Central America,Nicaragua,40.9,6.6,27.2
Central America,Panama,16,0.8,9.8
South America,Paraguay,64.7,41,54.8
South America,Peru,35.3,8.1,24.5
Caribbean,Saint Lucia,13.7,2.9,9.2
Caribbean,St. Kitts and Nevis,61.6,33.1,50.9
Caribbean,St. Vincent and Grenadines,14.6,3.1,10.2
South America,Suriname,13.6,2.9,9.3
Caribbean,Trinidad and Tobago,50.4,24.4,39.9
South America,Uruguay,20.9,9.8,16.1
South America,Venezuela,54.6,21.8,41.1
