Country,Name of Ship,Date of Arrival,Registration Numbers,Total Passengers
Trinidad & Tobago,Futtle Rozack,5/30/1845,001 - 225,225
Trinidad & Tobago,Dutchess of Argyle,2/12/1846,226 - 492,267
Trinidad & Tobago,Bangalore,2/14/1846,493 - 812,320
Trinidad & Tobago,Duke of Bedford,3/24/1846,813 - 1108,296
Trinidad & Tobago,Medusa,3/4/1846,1109 - 1290,182
Trinidad & Tobago,William Abrams,11/4/1846,1291 - 1637,347
Trinidad & Tobago,London,2/5/1846,1638  - 1931,294
Trinidad & Tobago,Cadet,6/14/1846,1932 - 2130,199
Trinidad & Tobago,Lord William Bentinck,6/15/1846,2131 - 2359,229
Trinidad & Tobago,City of Poonah,1/12/1846,2360 - 2637,278
Trinidad & Tobago,Duke of Portland,2/1/1847,2638 - 2928,291
Trinidad & Tobago,John Line,1/19/1847,2929 - 3260,332
Trinidad & Tobago,Lochlomond,1/26/1847,3261 - 3487,227
Trinidad & Tobago,Duke of Bedford,8/5/1847,3488 - 3781,294
Trinidad & Tobago,Emma,5/29/1847,3782 - 3915,134
Trinidad & Tobago,Cornwall,6/16/1847,3916 - 4287,372
Trinidad & Tobago,Bangalore,6/17/1847,4288 - 4587,300
Trinidad & Tobago,Poictiers,12/26/1847,4588 - 4909,322
Trinidad & Tobago,Agincourt,4/17/1848,4910 - 5237,328
Trinidad & Tobago,Duke of Bedford,6/5/1848,5238 - 5535,298
Trinidad & Tobago,Eliza Stewart,4/23/1851,5536 - 5711,176
Trinidad & Tobago,True Briton,3/2/1852,5712 - 6000,289
Trinidad & Tobago,Hyderabad,12/2/1852,6001 - 6293,293
Trinidad & Tobago,Equestrian,3/17/1852,6294 - 6583,290
Trinidad & Tobago,Eliza stewart,4/30/1852,6584 - 6766,183
Trinidad & Tobago,Mary Shepherd,5/6/1852,6767 - 7033,267
Trinidad & Tobago,Benares,1/25/1853,7034 - 7277,244
Trinidad & Tobago,William Jardine,12/2/1853,7278 - 7556,279
Trinidad & Tobago,Harkaway,2/13/1853,7557 - 7897,341
Trinidad & Tobago,Maidstone,3/14/1853,7898 - 8241,344
Trinidad & Tobago,Mallard,5/13/1853,8242 - 8500,259
Trinidad & Tobago,Eliza Stewart,5/13/1853,8501 - 8714,214
Trinidad & Tobago,Bank Of England,5/21/1853,8715 - 9013,299
Trinidad & Tobago,True Briton,3/23/1854,9014 - 9331,318
Trinidad & Tobago,Sussex,4/27/1854,9332 - 9683,352
Trinidad & Tobago,"Windsor
(also noted at end: Bangalore, Duke of Bedford, Dutchess of Arglyle, John Line",3/14/1855,9684 - 9973,290
Trinidad & Tobago,Scindian,3/16/1856,9974 - 10228,255
Trinidad & Tobago,Agincourt,4/26/1856,10229 - 10581,353
Trinidad & Tobago,Benares,1/25/1853,7034 - 7277,244
Trinidad & Tobago,William Jardine,12/2/1853,7278 - 7556,279
Trinidad & Tobago,Harkaway,2/13/1853,7557 - 7897,341
Trinidad & Tobago,Maidstone,3/14/1853,7898 - 8241,344
Trinidad & Tobago,Mallard,5/13/1853,8242 - 8500,259
Trinidad & Tobago,Eliza Stewart,5/13/1853,8501 - 8714,214
Trinidad & Tobago,Bank Of England,5/21/1853,8715 - 9013,299
Trinidad & Tobago,True Briton,3/23/1854,9014 - 9331,318
Trinidad & Tobago,Sussex,4/27/1854,9332 - 9683,352
Trinidad & Tobago,"Windsor
(also noted at end: Bangalore, Duke of Bedford, Dutchess of Arglyle, John Line",3/14/1855,9684 - 9973,290
Trinidad & Tobago,Scindian,3/16/1856,9974 - 10228,255
Trinidad & Tobago,Agincourt,4/26/1856,10229 - 10581,353
Trinidad & Tobago,Adelaide,3/18/1857,10582-10856,275
Trinidad & Tobago,Eveline,3/23/1857,10857-11158,302
Trinidad & Tobago,Sir George Seymour,1/4/1857,11159-11472,314
Trinidad & Tobago,Granville,8/6/1857,11473-11732,260
Trinidad & Tobago,Scindian,2/7/1857,11733-11955,223
Trinidad & Tobago,Wellesley,1/28/1858,11956-12329,374
Trinidad & Tobago,Ellenborough,10/4/1858,12330-12697,368
Trinidad & Tobago,Saladin,2/6/1858,12698-13021,324
Trinidad & Tobago,Salsette,2/7/1858,13022-13218,197
Trinidad & Tobago,Duchef of Argyle,12/1/1846,13219-13223,5
Trinidad & Tobago,Medusa,3/14/1853,13224-13226,3
Trinidad & Tobago,Agincourt,4/26/1856,13227,
Trinidad & Tobago,Edith Moore,6/12/1858,13607-13981,375
Trinidad & Tobago,Akbar,3/1/1859,13982-14291,310
Trinidad & Tobago,Themis,12/1/1859,14292-14654,363
Trinidad & Tobago,Marmion,1/25/1859,15430-15735,306
